id,order_id,from_status,to_status,reason_code,notes,changed_at_utc,changed_by
6f5e421f-0694-56a3-9bad-69f0eed800e5,4cf48f5b-603c-5720-a5d0-fa6697541c9f,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
f15541a5-8df9-528d-9df0-2fb884cc1d66,ecd2ab1a-0622-51f1-8043-b19262a7addb,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
6ffef526-0328-5193-a675-22021e74bfbc,b2276c59-956d-5c13-8003-3ada140a55d8,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
ee876ff5-d3e3-59b4-a992-a740f4cade31,5dd81f68-b2c1-5c5b-b1d4-f73ee721d116,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
6eb94793-49f2-55a0-9a16-b1b59a41af78,16fcfa49-306d-5031-b940-c9fd4da435d1,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
f7908e0f-c506-5026-a00e-187e0ac229e6,a094425f-8725-52d5-978d-9890da8dcf58,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
08533967-edba-5100-9cb6-03cc969cd321,ef203fed-b93e-52de-937b-57c3ff030578,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
ef6f02d0-ba9a-5e04-88f8-52b006054e52,fe94bf77-950d-5828-9523-bda16ae24f8a,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
a357ba81-7d35-5862-9e7c-2a2f7d4c22c2,3fe31ccd-b39a-5dca-8f5f-f98bf1162b3b,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
f0a5db05-2fc1-5bca-acfe-a64d8a930e71,d229ca0f-6d9d-525f-ba33-2c3d78f399e4,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
c91fa827-0661-556e-8521-cb658d7eca14,4edcd556-25a0-5b4b-a2a4-a20b7869e5ce,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
ff86d422-3268-574d-ac62-51f2c148c8da,c83f64dc-472b-5668-bf36-327debeeef06,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
f81719a0-7560-5244-918a-e68836c40f98,3277f419-6976-5730-8fb3-6eced2ee491c,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
8f2983ac-5b83-599b-8f56-693baccfe80a,f9cf74e9-e95d-5d16-8516-c4fb751dbeda,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
859fcbc6-8fb9-5c77-ba07-7d13cab93bad,768760e4-4bb0-5fc0-956f-d7137703c8b0,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
f706cd14-dd13-54dd-bdc1-fe543abdad2f,d6f419a1-eb1d-577d-b6b8-25072f213872,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
f85093e9-afa4-5a09-a0b3-518f94eebb02,afd9195d-dea1-55d8-a303-b0b4b897e212,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
6646608d-7f6f-5902-97e0-37ee29b10b28,421ff8d9-d7d4-5879-b00a-c512b28fd4df,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
d118a373-74ce-5629-b438-0dde10bddec2,a3ab5eeb-9e56-5cdc-b71a-9336112b8aec,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
77c172e1-063f-5b7e-8a0d-43060abd0f30,fd0b8bb2-7e67-559b-bdba-58f1e9ce0282,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
018ea0ac-2369-5766-b01f-7840f5ca3b20,15ee0899-79ad-57ff-b4a4-e71768fe7448,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
9f500aa9-ae83-5527-b946-45e689f855af,7e2f25cc-ae76-5112-9dd7-2ba69f5e0e8d,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
60ed3c5e-de23-585b-87f6-125e644cd631,06a252f3-4436-5c52-9b4e-ce4a4ce86b99,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
1e50d664-635a-5cdb-8b60-4dcc4302b7fd,93c812ad-0f00-55b9-9c72-20153dde4a5a,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
c2d004f7-f65b-5acf-96d8-8eef2291705a,2cda9f50-6f04-507e-9f64-404cfe963083,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
a098d0ed-78b4-5867-9a6f-b639f5afa2ae,ef055e36-cfcf-5866-8188-6d6905e6c8e4,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
06c90a14-7ec0-5814-964a-4b192cbeb662,ad638b19-0416-5c7a-8086-be63838d4522,ready,completed,\N,Sample order completed,2026-01-01T12:30:00Z,sample-data
